year,pce,gce,gfcf_total,gfcf_private,gfcf_public,exports_gs,exports_goods,exports_services,imports_gs,imports_goods,imports_services,change_in_inventory_thb_bn,residual_thb_bn
1993,51.95944384827479,11.00126063835981,39.06462104549023,31.349017872628337,7.715603172861894,36.81728956011259,28.235143067438944,8.582146492673651,40.92882755729715,31.572433387489095,9.356394169808048,0.5915255930424039,1.4946868720173216
1994,52.13090491150935,11.052264921701557,39.999728930440845,31.269608494235708,8.730120436205134,38.24211390885015,30.30690495488047,7.935208953969679,43.00683908497759,32.84904949459081,10.157789590386788,0.9080559162286634,0.673770496247042
1995,51.300925120222004,11.250602828992886,41.321277859946406,32.35096905501547,8.970308804930939,41.53234506524305,32.75928048417897,8.77306458106408,48.22382987158142,37.46869675603315,10.75513311554827,1.5414165449943973,1.2772624521826794
1996,51.70894087962672,11.584261126839023,41.65494618639573,31.19615298050879,10.458793205886943,39.01842019711103,29.726659141414096,9.29176105569693,45.25572780086423,34.90670900124261,10.34901879962161,0.8777425277087676,0.4114168831829576
1997,53.00067299179884,12.083833123509917,34.61143746377627,22.737675439620748,11.873762024155523,48.237058707388684,37.998199693863036,10.23885901352565,46.81473193908681,35.821527670153344,10.993204268933466,-0.336708199672633,-0.7815621477142694
1998,51.675116711435564,13.06449166902936,22.151786867020324,12.416790792319048,9.734996074701275,57.93730284440056,46.390671337747335,11.546631506653227,42.303170888427715,32.169306609964835,10.133864278462882,-2.080291342031027,-0.44523586142706467
1999,53.188612696995676,13.569052403991295,20.4100107185522,11.281453647794304,9.128557070757894,56.438542861473465,44.8878309984538,11.550711863019657,44.26774584295964,33.857263290983845,10.410482551975791,-0.23660567210583433,0.8981328340528446
2000,54.1337365034656,13.575965221644951,21.57492770946503,13.497658693997025,8.077269015468005,64.840250738685,53.866665877684014,10.973584861000981,56.45770461278704,44.687444524657685,11.770260088129362,0.7076779846227282,1.6251464549037242
2001,56.00279588348066,13.47449701131955,22.480369975608987,14.961362963262308,7.519007012346676,63.25068975665299,52.432731069648064,10.817958687004923,57.017276516879974,45.453817501624414,11.563459015255564,0.632067234412117,1.1768566554056772
2002,55.657484828179804,13.172384531416338,21.911585214724543,15.147970960787774,6.76361425393677,60.64575260097013,49.183198493893315,11.462554107076809,54.32399042009658,42.37176445140356,11.952225968693032,0.8326085547331191,2.1041746900726537
2003,55.63127176264935,12.925547500254462,23.031901430088126,16.826959226112788,6.204942203975336,61.52255163318904,51.178738775075374,10.34381285811366,55.17026807167552,43.84318751213928,11.327080559536245,0.7973972437288507,1.2615985017657059
2004,55.87485523307798,13.113690241494377,24.86419158728392,18.635913815401793,6.22827777188213,65.97185733911854,54.97049156188949,11.00136577722905,61.440016381274155,48.74865586411365,12.691360517160508,0.8172231151972267,0.7981988651021054
2005,55.839880458252125,13.653623372838686,27.71262281481785,20.688231827780246,7.024390987037606,68.40271690088701,57.87281511334233,10.529901787544697,69.45114993136042,56.004817706845614,13.446332224514803,2.7081280482495624,1.1341783363151792
2006,54.451158744496254,13.502262445593457,26.846632234385844,19.99484801403321,6.851784220352631,68.67534203330126,57.59369162649911,11.081650406802144,65.41160415796693,51.47348227112112,13.938121886845817,0.16501115866831162,1.7711975415218166
2007,52.54840049927828,13.925948467332672,25.456251395805406,18.55881597580336,6.897435420002047,68.87227517024832,57.42657719262506,11.445697977623263,61.000951819469186,47.32557899963873,13.675372819830459,0.0397628945977001,0.1583133922068032
2008,53.63939511662237,14.341950991915157,26.44771585328377,19.864191857177484,6.583523996106287,71.4164181071068,60.0713778786267,11.345040228480089,69.02059343382444,54.14220089587551,14.878392537948923,1.7787190984913972,1.3963942664049567
